city,lab_type,count
Mazères-sur-Salat,Fab Lab,1
Medellin,Fab Lab,1
Medellín,Fab Lab,1
Melbourne,DIYBio Lab,1
Melbourne,Fab Lab,1
Menomonie,Fab Lab,1
Mercato San Severino,Fab Lab,1
"Mercedes, Montes de Oca",Fab Lab,1
Merishausen,Fab Lab,1
Messejana,Fab Lab,1
Messina,Fab Lab,1
Mestia,Fab Lab,1
Metz,Fab Lab,2
Mexico City,Fab Lab,1
Miami,Fab Lab,1
Middelburg,Fab Lab,1
Milan,Fab Lab,3
Milano,Fab Lab,6
Millau,Fab Lab,1
Milwaukee,Fab Lab,1
Minneapolis,DIYBio Lab,1
Minong,Fab Lab,1
Miraflores,Fab Lab,1
Modena,Fab Lab,1
Molenbeek-Saint-Jean,Fab Lab,1
Monopoli,Fab Lab,1
Mont-Saint-Aignan,Fab Lab,1
Montelabbate,Fab Lab,1
Montevideo,Fab Lab,1
Montpellier,Fab Lab,2
Montreal,DIYBio Lab,1
Montreal,Fab Lab,4
Montreuil,Fab Lab,2
Montreuil ,Fab Lab,1
Montréal,Fab Lab,2
Montréal-Est,Fab Lab,1
Mookkannoor,Fab Lab,1
Moscow,DIYBio Lab,1
Moscow,Fab Lab,3
Moskva,Fab Lab,1
Moss,Fab Lab,1
Mounds View,Fab Lab,1
Mount Vernon,Fab Lab,1
Mulhouse,Fab Lab,1
Mumbai,DIYBio Lab,1
Mumbai,Fab Lab,2
Munich,DIYBio Lab,1
Munich,Fab Lab,1
Munster,Fab Lab,1
Muskogee,Fab Lab,1
Málaga,Fab Lab,1
Mérida,Fab Lab,2
Mödling,Fab Lab,1
München,Fab Lab,2
Münster,Fab Lab,1
Nablus,Fab Lab,1
Nagano,Fab Lab,1
Nairobi,Fab Lab,1
Namur,DIYBio Lab,1
Namur,Fab Lab,1
Nancy,Fab Lab,2
Nanjing,Fab Lab,1
Nantes,Fab Lab,1
Nantong,Fab Lab,1
Napoli,Fab Lab,2
Napoli ,Fab Lab,1
"Nedumangadu, Thiruvananthapuram",Fab Lab,1
Neiva,Fab Lab,1
Nelson,DIYBio Lab,1
Neskaupstadur,Fab Lab,1
Neuchâtel,Fab Lab,1
Neuenstadt am Kocher,Fab Lab,1
Neunkirchen am Sand,Fab Lab,1
New Brunswick,Fab Lab,1
New Delhi,Fab Lab,2
New Haven,Fab Lab,1
New Orleans,Fab Lab,1
New York,Fab Lab,1
New York City,DIYBio Lab,2
Newport,Fab Lab,1
Nieuwkoop,Fab Lab,1
Niles,Fab Lab,1
Norfolk,DIYBio Lab,1
Norfolk,Fab Lab,1
Norilsk,Fab Lab,1
Northampton,Fab Lab,1
Nottingham,DIYBio Lab,1
Novosibirsk,Fab Lab,2
Nuoro,Fab Lab,1
Nuremberg,Fab Lab,1
Nyon,Fab Lab,1
Næstved,Fab Lab,1
Néons-sur-Creuse,Fab Lab,1
OULU,Fab Lab,1
Oakland,DIYBio Lab,1
Oakland,Fab Lab,2
Oaxaca,Fab Lab,1
Oberá,Fab Lab,1
Obninsk,Fab Lab,1
Odense,Fab Lab,1
Odessa,Fab Lab,3
Oita,Fab Lab,1
Oklahoma City,Fab Lab,1
Olbia,Fab Lab,1
Omaha,Fab Lab,1
Orlando,DIYBio Lab,1
Orlando,Fab Lab,1
Orléans,Fab Lab,1
Orsay,Fab Lab,1
Orvieto,Fab Lab,1
Osaka-shi,Fab Lab,1
Oshkosh,Fab Lab,1
Oslo,Fab Lab,1
Ota-ku,Fab Lab,1
Ottawa,DIYBio Lab,1
Ottignies-Louvain-la-Neuve,Fab Lab,1
Ouagadougou,Fab Lab,2
Oulu,Fab Lab,1
Overland Park,Fab Lab,2
PEREIRA,Fab Lab,1
Pabal,Fab Lab,1
Paderborn,Fab Lab,1
Padova,Fab Lab,2
Palermo,Fab Lab,2
Palo Alto,Fab Lab,1
Panama City,Fab Lab,1
Paramaribo,Fab Lab,1
Paris,DIYBio Lab,2
Paris,Fab Lab,8
Parma,Fab Lab,1
Parthenay,Fab Lab,1
Pathamuttam,Fab Lab,1
Pau,Fab Lab,1
Pavia,Fab Lab,1
Pembroke Dock,Fab Lab,1
Penela,Fab Lab,1
Penryn,Fab Lab,1
Perpignan,Fab Lab,1
Perth,DIYBio Lab,1
Perugia,Fab Lab,1
Pescara,Fab Lab,2
Phnom Penh,Fab Lab,1
Pickerington,Fab Lab,1
Pinetop-Lakeside,Fab Lab,1
Pisa,Fab Lab,1
Pistoia,Fab Lab,1
Pittsburgh,Fab Lab,2
Plouzane,Fab Lab,1
Plymouth,Fab Lab,1
Podgorica,Fab Lab,1
"Polokwane, Mankweng ",Fab Lab,1
Portland,DIYBio Lab,1
Porto,Fab Lab,1
Porto Alegre,Fab Lab,5
Portogruaro,Fab Lab,1
Potchefstroom,Fab Lab,1
Poti,Fab Lab,1
Potsdam,Fab Lab,1
Poznań,Fab Lab,1
Pozuelo,Fab Lab,1
Prague,DIYBio Lab,1
Providence,Fab Lab,1
Puebla,Fab Lab,1
Puertollano,Fab Lab,1
Pula,Fab Lab,1
Pune,Fab Lab,1
Quetzaltenango,Fab Lab,1
Quezon City,Fab Lab,1
Quito,Fab Lab,5
ROMA,Fab Lab,1
Rabat,Fab Lab,1
Raipur,Fab Lab,1
Ravenna,Fab Lab,2
Recife,Fab Lab,1
Regensburg,Fab Lab,1
Reggio Calabria,Fab Lab,1
Reggio Emilia,Fab Lab,1
Rende,Fab Lab,1
Rendsburg,Fab Lab,1
Renens,Fab Lab,1
Rennes,Fab Lab,2
Rennes ,Fab Lab,1
Research Triangle Park,DIYBio Lab,1
Reykjavík,Fab Lab,1
Reynoldsburg,Fab Lab,1
Rheinfelden,Fab Lab,1
Rice Lake,Fab Lab,1
Richmond,DIYBio Lab,1
Richmond,Fab Lab,1
Rieti,Fab Lab,1
Riga,Fab Lab,1
Rimini,Fab Lab,1
Rincon,Fab Lab,1
Rio de Janeiro,Fab Lab,2
Rishon LeTsiyon,Fab Lab,1
Rivière-du-Loup,Fab Lab,1
Riyadh,Fab Lab,3
Rockledge,Fab Lab,1
Rodez,Fab Lab,2
Roma,Fab Lab,3
Romorantin-Lanthenay,Fab Lab,1
Rosemère,Fab Lab,1
Roskilde,Fab Lab,1
Rothenburg ob der Tauber,Fab Lab,1
Rotterdam,Fab Lab,2
Rovereto,Fab Lab,1
Rovigo,Fab Lab,1
Roxbury,Fab Lab,1
Rozzano,Fab Lab,1
Rustavi,Fab Lab,1
Rzeszów,Fab Lab,2
ST GEORGES DE MONTAIGU,Fab Lab,1
Sacavém,Fab Lab,1
Sacile,Fab Lab,1
Sacramento,Fab Lab,1
Saga,Fab Lab,1
Saint-Avold,Fab Lab,1
Saint-Cyr-de-Favières,Fab Lab,1
Saint-Denis,Fab Lab,1
Saint-Dié-des-Vosges,Fab Lab,1
Saint-Jacques-de-la-Lande,Fab Lab,1
Saint-Laurent-du-Maroni,Fab Lab,1
Saint-Loup-sur-Semouse,Fab Lab,1
Saint-Lô,Fab Lab,1
Saint-Martin-d'Hères,Fab Lab,1
Saint-Étienne,Fab Lab,1
Salamanca,Fab Lab,1
Salerno,Fab Lab,1
Salzburg,Fab Lab,1
"San Andrés del Rabanedo,León",Fab Lab,1
San Cristóbal de La Laguna,Fab Lab,1
San Diego,DIYBio Lab,2
San Diego,Fab Lab,1
